trainSize,testSize,dimention,selRatio,model,measure,value,method,dataset,noise,train_seed
1097,275,4,1,NeuralNet,acc,1,noselect,BankNote_Authentication,na,4
1097,275,4,1,NeuralNet,acc,1,noselect,BankNote_Authentication,na,5
4240,1060,2,1,NeuralNet,acc,0.902830189,noselect,banana,na,1
4240,1060,2,1,NeuralNet,acc,0.909433962,noselect,banana,na,2
4240,1060,2,1,NeuralNet,acc,0.905660377,noselect,banana,na,3
4240,1060,2,1,NeuralNet,acc,0.899056604,noselect,banana,na,4
4240,1060,2,1,NeuralNet,acc,0.888679245,noselect,banana,na,5
6243,1561,25,1,NeuralNet,acc,0.856502242,noselect,colleges,na,1
6243,1561,25,1,NeuralNet,acc,0.865470852,noselect,colleges,na,2
6243,1561,25,1,NeuralNet,acc,0.858424087,noselect,colleges,na,3
6243,1561,25,1,NeuralNet,acc,0.882767457,noselect,colleges,na,4
6243,1561,25,1,NeuralNet,acc,0.871236387,noselect,colleges,na,5
11984,2996,14,1,NeuralNet,acc,0.945594126,noselect,eegEyeState,na,1
11984,2996,14,1,NeuralNet,acc,0.883511348,noselect,eegEyeState,na,2
11984,2996,14,1,NeuralNet,acc,0.893858478,noselect,eegEyeState,na,3
11984,2996,14,1,NeuralNet,acc,0.946261682,noselect,eegEyeState,na,4
11984,2996,14,1,NeuralNet,acc,0.886181575,noselect,eegEyeState,na,5
7382,1846,7,1,NeuralNet,acc,0.971830986,noselect,employee_salaries,na,1
7382,1846,7,1,NeuralNet,acc,0.984290358,noselect,employee_salaries,na,2
7382,1846,7,1,NeuralNet,acc,0.980498375,noselect,employee_salaries,na,3
7382,1846,7,1,NeuralNet,acc,0.980498375,noselect,employee_salaries,na,4
7382,1846,7,1,NeuralNet,acc,0.979414951,noselect,employee_salaries,na,5
6499,1625,18,1,NeuralNet,acc,1,noselect,mushroom,na,2
6499,1625,18,1,NeuralNet,acc,1,noselect,mushroom,na,3
6499,1625,18,1,NeuralNet,acc,1,noselect,mushroom,na,4
6499,1625,18,1,NeuralNet,acc,1,noselect,mushroom,na,5
5920,1480,20,1,NeuralNet,acc,0.968918919,noselect,ringnorm,na,1
5920,1480,20,1,NeuralNet,acc,0.962162162,noselect,ringnorm,na,2
5920,1480,20,1,NeuralNet,acc,0.969594595,noselect,ringnorm,na,3
5920,1480,20,1,NeuralNet,acc,0.964864865,noselect,ringnorm,na,4
5920,1480,20,1,NeuralNet,acc,0.97027027,noselect,ringnorm,na,5
5920,1480,20,1,NeuralNet,acc,0.97972973,noselect,twonorm,na,1
5920,1480,20,1,NeuralNet,acc,0.975675676,noselect,twonorm,na,2
5920,1480,20,1,NeuralNet,acc,0.977027027,noselect,twonorm,na,3
5920,1480,20,1,NeuralNet,acc,0.980405405,noselect,twonorm,na,4
5920,1480,20,1,NeuralNet,acc,0.977702703,noselect,twonorm,na,5
12800,3200,8,1,NeuralNet,acc,0.84125,noselect,url_spam,na,1
12800,3200,8,1,NeuralNet,acc,0.845,noselect,url_spam,na,2
12800,3200,8,1,NeuralNet,acc,0.854375,noselect,url_spam,na,3
12800,3200,8,1,NeuralNet,acc,0.85625,noselect,url_spam,na,4
12800,3200,8,1,NeuralNet,acc,0.8509375,noselect,url_spam,na,5
1097,275,4,1,NeuralNet,auc,1,noselect,BankNote_Authentication,na,1
1097,275,4,1,NeuralNet,auc,1,noselect,BankNote_Authentication,na,2
1097,275,4,1,NeuralNet,auc,1,noselect,BankNote_Authentication,na,3
1097,275,4,1,NeuralNet,auc,1,noselect,BankNote_Authentication,na,4
1097,275,4,1,NeuralNet,auc,1,noselect,BankNote_Authentication,na,5
4240,1060,2,1,NeuralNet,auc,0.967461783,noselect,banana,na,1
4240,1060,2,1,NeuralNet,auc,0.973949175,noselect,banana,na,2
4240,1060,2,1,NeuralNet,auc,0.97520375,noselect,banana,na,3
4240,1060,2,1,NeuralNet,auc,0.970329643,noselect,banana,na,4
4240,1060,2,1,NeuralNet,auc,0.966429207,noselect,banana,na,5
6243,1561,25,1,NeuralNet,auc,0.919072852,noselect,colleges,na,1
6243,1561,25,1,NeuralNet,auc,0.920087213,noselect,colleges,na,2
6243,1561,25,1,NeuralNet,auc,0.923588305,noselect,colleges,na,3
6243,1561,25,1,NeuralNet,auc,0.928894619,noselect,colleges,na,4
6243,1561,25,1,NeuralNet,auc,0.93011627,noselect,colleges,na,5
11984,2996,14,1,NeuralNet,auc,0.989263721,noselect,eegEyeState,na,1
11984,2996,14,1,NeuralNet,auc,0.956299207,noselect,eegEyeState,na,2
11984,2996,14,1,NeuralNet,auc,0.962644762,noselect,eegEyeState,na,3
11984,2996,14,1,NeuralNet,auc,0.988648944,noselect,eegEyeState,na,4
11984,2996,14,1,NeuralNet,auc,0.961389188,noselect,eegEyeState,na,5
7382,1846,7,1,NeuralNet,auc,0.994559047,noselect,employee_salaries,na,1
7382,1846,7,1,NeuralNet,auc,0.997185219,noselect,employee_salaries,na,2
7382,1846,7,1,NeuralNet,auc,0.99746112,noselect,employee_salaries,na,3
7382,1846,7,1,NeuralNet,auc,0.996487911,noselect,employee_salaries,na,4
7382,1846,7,1,NeuralNet,auc,0.997324047,noselect,employee_salaries,na,5
6499,1625,18,1,NeuralNet,auc,1,noselect,mushroom,na,2
6499,1625,18,1,NeuralNet,auc,1,noselect,mushroom,na,3
6499,1625,18,1,NeuralNet,auc,1,noselect,mushroom,na,4
6499,1625,18,1,NeuralNet,auc,1,noselect,mushroom,na,5
5920,1480,20,1,NeuralNet,auc,0.994685281,noselect,ringnorm,na,1
5920,1480,20,1,NeuralNet,auc,0.994764082,noselect,ringnorm,na,2
5920,1480,20,1,NeuralNet,auc,0.996051086,noselect,ringnorm,na,3
5920,1480,20,1,NeuralNet,auc,0.993832808,noselect,ringnorm,na,4
5920,1480,20,1,NeuralNet,auc,0.996838213,noselect,ringnorm,na,5
5920,1480,20,1,NeuralNet,auc,0.998251988,noselect,twonorm,na,1
5920,1480,20,1,NeuralNet,auc,0.99790717,noselect,twonorm,na,2
5920,1480,20,1,NeuralNet,auc,0.99792183,noselect,twonorm,na,3
5920,1480,20,1,NeuralNet,auc,0.997897548,noselect,twonorm,na,4
5920,1480,20,1,NeuralNet,auc,0.998005549,noselect,twonorm,na,5
12800,3200,8,1,NeuralNet,auc,0.910847073,noselect,url_spam,na,1
12800,3200,8,1,NeuralNet,auc,0.915332274,noselect,url_spam,na,2
12800,3200,8,1,NeuralNet,auc,0.921802147,noselect,url_spam,na,3
12800,3200,8,1,NeuralNet,auc,0.916202411,noselect,url_spam,na,4
12800,3200,8,1,NeuralNet,auc,0.916111814,noselect,url_spam,na,5
1097,275,4,1,NeuralNet,f1,1,noselect,BankNote_Authentication,na,1
1097,275,4,1,NeuralNet,f1,1,noselect,BankNote_Authentication,na,2
1097,275,4,1,NeuralNet,f1,1,noselect,BankNote_Authentication,na,3
1097,275,4,1,NeuralNet,f1,1,noselect,BankNote_Authentication,na,4
1097,275,4,1,NeuralNet,f1,1,noselect,BankNote_Authentication,na,5
4240,1060,2,1,NeuralNet,f1,0.890774125,noselect,banana,na,1
4240,1060,2,1,NeuralNet,f1,0.896995708,noselect,banana,na,2
4240,1060,2,1,NeuralNet,f1,0.89010989,noselect,banana,na,3
4240,1060,2,1,NeuralNet,f1,0.882028666,noselect,banana,na,4
4240,1060,2,1,NeuralNet,f1,0.874734607,noselect,banana,na,5
6243,1561,25,1,NeuralNet,f1,0.774647887,noselect,colleges,na,1
6243,1561,25,1,NeuralNet,f1,0.774678112,noselect,colleges,na,2
6243,1561,25,1,NeuralNet,f1,0.76056338,noselect,colleges,na,3
6243,1561,25,1,NeuralNet,f1,0.795530726,noselect,colleges,na,4
6243,1561,25,1,NeuralNet,f1,0.799200799,noselect,colleges,na,5
11984,2996,14,1,NeuralNet,f1,0.950977444,noselect,eegEyeState,na,1
11984,2996,14,1,NeuralNet,f1,0.894593778,noselect,eegEyeState,na,2
11984,2996,14,1,NeuralNet,f1,0.905469679,noselect,eegEyeState,na,3
11984,2996,14,1,NeuralNet,f1,0.950749465,noselect,eegEyeState,na,4
11984,2996,14,1,NeuralNet,f1,0.898178561,noselect,eegEyeState,na,5
7382,1846,7,1,NeuralNet,f1,0.920489297,noselect,employee_salaries,na,1
7382,1846,7,1,NeuralNet,f1,0.951260504,noselect,employee_salaries,na,2
7382,1846,7,1,NeuralNet,f1,0.940789474,noselect,employee_salaries,na,3
7382,1846,7,1,NeuralNet,f1,0.935251799,noselect,employee_salaries,na,4
7382,1846,7,1,NeuralNet,f1,0.939490446,noselect,employee_salaries,na,5
6499,1625,18,1,NeuralNet,f1,1,noselect,mushroom,na,2
6499,1625,18,1,NeuralNet,f1,1,noselect,mushroom,na,3
6499,1625,18,1,NeuralNet,f1,1,noselect,mushroom,na,4
6499,1625,18,1,NeuralNet,f1,1,noselect,mushroom,na,5
5920,1480,20,1,NeuralNet,f1,0.96875,noselect,ringnorm,na,1
5920,1480,20,1,NeuralNet,f1,0.961325967,noselect,ringnorm,na,2
5920,1480,20,1,NeuralNet,f1,0.96868476,noselect,ringnorm,na,3
5920,1480,20,1,NeuralNet,f1,0.964529332,noselect,ringnorm,na,4
5920,1480,20,1,NeuralNet,f1,0.970588235,noselect,ringnorm,na,5
5920,1480,20,1,NeuralNet,f1,0.979508197,noselect,twonorm,na,1
5920,1480,20,1,NeuralNet,f1,0.975935829,noselect,twonorm,na,2
5920,1480,20,1,NeuralNet,f1,0.976551724,noselect,twonorm,na,3
5920,1480,20,1,NeuralNet,f1,0.980705256,noselect,twonorm,na,4
5920,1480,20,1,NeuralNet,f1,0.977474403,noselect,twonorm,na,5
12800,3200,8,1,NeuralNet,f1,0.847904192,noselect,url_spam,na,1
12800,3200,8,1,NeuralNet,f1,0.851851852,noselect,url_spam,na,2
12800,3200,8,1,NeuralNet,f1,0.860729229,noselect,url_spam,na,3
12800,3200,8,1,NeuralNet,f1,0.865102639,noselect,url_spam,na,4
12800,3200,8,1,NeuralNet,f1,0.860811205,noselect,url_spam,na,5
1097,275,4,1,NeuralNet,time(s),163.9905224,noselect,BankNote_Authentication,na,1
1097,275,4,1,NeuralNet,time(s),165.2631216,noselect,BankNote_Authentication,na,2
1097,275,4,1,NeuralNet,time(s),167.5350444,noselect,BankNote_Authentication,na,3
1097,275,4,1,NeuralNet,time(s),164.686661,noselect,BankNote_Authentication,na,4
1097,275,4,1,NeuralNet,time(s),167.4412954,noselect,BankNote_Authentication,na,5
4240,1060,2,1,NeuralNet,time(s),1602.112276,noselect,banana,na,1
4240,1060,2,1,NeuralNet,time(s),1565.84026,noselect,banana,na,2
4240,1060,2,1,NeuralNet,time(s),1548.079749,noselect,banana,na,3
4240,1060,2,1,NeuralNet,time(s),1565.716591,noselect,banana,na,4
4240,1060,2,1,NeuralNet,time(s),1557.772831,noselect,banana,na,5
6243,1561,25,1,NeuralNet,time(s),2056.361932,noselect,colleges,na,1
6243,1561,25,1,NeuralNet,time(s),2056.114592,noselect,colleges,na,2
6243,1561,25,1,NeuralNet,time(s),1986.202585,noselect,colleges,na,3
6243,1561,25,1,NeuralNet,time(s),2025.995153,noselect,colleges,na,4
6243,1561,25,1,NeuralNet,time(s),2052.619938,noselect,colleges,na,5
11984,2996,14,1,NeuralNet,time(s),7295.476895,noselect,eegEyeState,na,1
11984,2996,14,1,NeuralNet,time(s),6541.49776,noselect,eegEyeState,na,2
11984,2996,14,1,NeuralNet,time(s),6590.038913,noselect,eegEyeState,na,3
11984,2996,14,1,NeuralNet,time(s),7271.399276,noselect,eegEyeState,na,4
11984,2996,14,1,NeuralNet,time(s),6623.448517,noselect,eegEyeState,na,5
7382,1846,7,1,NeuralNet,time(s),1579.646147,noselect,employee_salaries,na,1
7382,1846,7,1,NeuralNet,time(s),1597.646005,noselect,employee_salaries,na,2
7382,1846,7,1,NeuralNet,time(s),1631.558304,noselect,employee_salaries,na,3
7382,1846,7,1,NeuralNet,time(s),1579.298076,noselect,employee_salaries,na,4
7382,1846,7,1,NeuralNet,time(s),1651.610673,noselect,employee_salaries,na,5
6499,1625,18,1,NeuralNet,time(s),475.8682644,noselect,mushroom,na,2
6499,1625,18,1,NeuralNet,time(s),492.3023088,noselect,mushroom,na,3
6499,1625,18,1,NeuralNet,time(s),476.7329488,noselect,mushroom,na,4
6499,1625,18,1,NeuralNet,time(s),479.5583944,noselect,mushroom,na,5
5920,1480,20,1,NeuralNet,time(s),1479.242926,noselect,ringnorm,na,1
5920,1480,20,1,NeuralNet,time(s),1495.403674,noselect,ringnorm,na,2
5920,1480,20,1,NeuralNet,time(s),1492.013746,noselect,ringnorm,na,3
5920,1480,20,1,NeuralNet,time(s),1473.641916,noselect,ringnorm,na,4
5920,1480,20,1,NeuralNet,time(s),1493.342192,noselect,ringnorm,na,5
5920,1480,20,1,NeuralNet,time(s),645.5003707,noselect,twonorm,na,1
5920,1480,20,1,NeuralNet,time(s),624.314074,noselect,twonorm,na,2
5920,1480,20,1,NeuralNet,time(s),649.7480016,noselect,twonorm,na,3
5920,1480,20,1,NeuralNet,time(s),631.2624772,noselect,twonorm,na,4
5920,1480,20,1,NeuralNet,time(s),631.9805543,noselect,twonorm,na,5
12800,3200,8,1,NeuralNet,time(s),3772.541653,noselect,url_spam,na,1
12800,3200,8,1,NeuralNet,time(s),3793.243759,noselect,url_spam,na,2
12800,3200,8,1,NeuralNet,time(s),3640.700405,noselect,url_spam,na,3
12800,3200,8,1,NeuralNet,time(s),3834.405524,noselect,url_spam,na,4
12800,3200,8,1,NeuralNet,time(s),3597.040147,noselect,url_spam,na,5
1097,275,4,1,RBFSVM,acc,1,noselect,BankNote_Authentication,na,1
1097,275,4,1,RBFSVM,acc,1,noselect,BankNote_Authentication,na,2
1097,275,4,1,RBFSVM,acc,0.996363636,noselect,BankNote_Authentication,na,3
1097,275,4,1,RBFSVM,acc,1,noselect,BankNote_Authentication,na,4
1097,275,4,1,RBFSVM,acc,1,noselect,BankNote_Authentication,na,5
4240,1060,2,1,RBFSVM,acc,0.90754717,noselect,banana,na,1
4240,1060,2,1,RBFSVM,acc,0.911320755,noselect,banana,na,2
4240,1060,2,1,RBFSVM,acc,0.90754717,noselect,banana,na,3
4240,1060,2,1,RBFSVM,acc,0.899056604,noselect,banana,na,4
4240,1060,2,1,RBFSVM,acc,0.899056604,noselect,banana,na,5
6243,1561,25,1,RBFSVM,acc,0.876361307,noselect,colleges,na,1
6243,1561,25,1,RBFSVM,acc,0.877001922,noselect,colleges,na,2
6243,1561,25,1,RBFSVM,acc,0.879564382,noselect,colleges,na,3
6243,1561,25,1,RBFSVM,acc,0.886611147,noselect,colleges,na,4
6243,1561,25,1,RBFSVM,acc,0.875720692,noselect,colleges,na,5
11984,2996,14,1,RBFSVM,acc,0.940253672,noselect,eegEyeState,na,1
11984,2996,14,1,RBFSVM,acc,0.860814419,noselect,eegEyeState,na,2
11984,2996,14,1,RBFSVM,acc,0.862483311,noselect,eegEyeState,na,3
11984,2996,14,1,RBFSVM,acc,0.94058745,noselect,eegEyeState,na,4
11984,2996,14,1,RBFSVM,acc,0.874499332,noselect,eegEyeState,na,5
7382,1846,7,1,RBFSVM,acc,0.97020585,noselect,employee_salaries,na,1
7382,1846,7,1,RBFSVM,acc,0.979414951,noselect,employee_salaries,na,2
7382,1846,7,1,RBFSVM,acc,0.978331528,noselect,employee_salaries,na,3
7382,1846,7,1,RBFSVM,acc,0.971830986,noselect,employee_salaries,na,4
7382,1846,7,1,RBFSVM,acc,0.97616468,noselect,employee_salaries,na,5
6499,1625,18,1,RBFSVM,acc,1,noselect,mushroom,na,2
6499,1625,18,1,RBFSVM,acc,1,noselect,mushroom,na,3
6499,1625,18,1,RBFSVM,acc,1,noselect,mushroom,na,4
6499,1625,18,1,RBFSVM,acc,1,noselect,mushroom,na,5
5920,1480,20,1,RBFSVM,acc,0.975,noselect,ringnorm,na,1
5920,1480,20,1,RBFSVM,acc,0.976351351,noselect,ringnorm,na,2
5920,1480,20,1,RBFSVM,acc,0.981081081,noselect,ringnorm,na,3
5920,1480,20,1,RBFSVM,acc,0.981081081,noselect,ringnorm,na,4
5920,1480,20,1,RBFSVM,acc,0.976351351,noselect,ringnorm,na,5
5920,1480,20,1,RBFSVM,acc,0.979054054,noselect,twonorm,na,1
5920,1480,20,1,RBFSVM,acc,0.975675676,noselect,twonorm,na,2
5920,1480,20,1,RBFSVM,acc,0.977702703,noselect,twonorm,na,3
5920,1480,20,1,RBFSVM,acc,0.97972973,noselect,twonorm,na,4
5920,1480,20,1,RBFSVM,acc,0.979054054,noselect,twonorm,na,5
12800,3200,8,1,RBFSVM,acc,0.838125,noselect,url_spam,na,1
12800,3200,8,1,RBFSVM,acc,0.8528125,noselect,url_spam,na,2
12800,3200,8,1,RBFSVM,acc,0.853125,noselect,url_spam,na,3
12800,3200,8,1,RBFSVM,acc,0.8478125,noselect,url_spam,na,4
12800,3200,8,1,RBFSVM,acc,0.8521875,noselect,url_spam,na,5
1097,275,4,1,RBFSVM,auc,1,noselect,BankNote_Authentication,na,1
1097,275,4,1,RBFSVM,auc,1,noselect,BankNote_Authentication,na,2
1097,275,4,1,RBFSVM,auc,1,noselect,BankNote_Authentication,na,3
1097,275,4,1,RBFSVM,auc,1,noselect,BankNote_Authentication,na,4
1097,275,4,1,RBFSVM,auc,1,noselect,BankNote_Authentication,na,5
4240,1060,2,1,RBFSVM,auc,0.968467308,noselect,banana,na,1
4240,1060,2,1,RBFSVM,auc,0.971374478,noselect,banana,na,2
4240,1060,2,1,RBFSVM,auc,0.9704652,noselect,banana,na,3
4240,1060,2,1,RBFSVM,auc,0.967162014,noselect,banana,na,4
4240,1060,2,1,RBFSVM,auc,0.964332602,noselect,banana,na,5
6243,1561,25,1,RBFSVM,auc,0.925654641,noselect,colleges,na,1
6243,1561,25,1,RBFSVM,auc,0.930721107,noselect,colleges,na,2
6243,1561,25,1,RBFSVM,auc,0.928366349,noselect,colleges,na,3
6243,1561,25,1,RBFSVM,auc,0.938745827,noselect,colleges,na,4
6243,1561,25,1,RBFSVM,auc,0.935011561,noselect,colleges,na,5
11984,2996,14,1,RBFSVM,auc,0.979480346,noselect,eegEyeState,na,1
11984,2996,14,1,RBFSVM,auc,0.937127697,noselect,eegEyeState,na,2
11984,2996,14,1,RBFSVM,auc,0.939824035,noselect,eegEyeState,na,3
11984,2996,14,1,RBFSVM,auc,0.982869643,noselect,eegEyeState,na,4
11984,2996,14,1,RBFSVM,auc,0.944012382,noselect,eegEyeState,na,5
7382,1846,7,1,RBFSVM,auc,0.992354282,noselect,employee_salaries,na,1
7382,1846,7,1,RBFSVM,auc,0.992652324,noselect,employee_salaries,na,2
7382,1846,7,1,RBFSVM,auc,0.995640912,noselect,employee_salaries,na,3
7382,1846,7,1,RBFSVM,auc,0.992762692,noselect,employee_salaries,na,4
7382,1846,7,1,RBFSVM,auc,0.995066993,noselect,employee_salaries,na,5
6499,1625,18,1,RBFSVM,auc,1,noselect,mushroom,na,2
6499,1625,18,1,RBFSVM,auc,1,noselect,mushroom,na,3
6499,1625,18,1,RBFSVM,auc,1,noselect,mushroom,na,4
6499,1625,18,1,RBFSVM,auc,1,noselect,mushroom,na,5
5920,1480,20,1,RBFSVM,auc,0.997030332,noselect,ringnorm,na,1
5920,1480,20,1,RBFSVM,auc,0.997698899,noselect,ringnorm,na,2
5920,1480,20,1,RBFSVM,auc,0.996522543,noselect,ringnorm,na,3
5920,1480,20,1,RBFSVM,auc,0.998025841,noselect,ringnorm,na,4
5920,1480,20,1,RBFSVM,auc,0.997641453,noselect,ringnorm,na,5
5920,1480,20,1,RBFSVM,auc,0.998352448,noselect,twonorm,na,1
5920,1480,20,1,RBFSVM,auc,0.998020395,noselect,twonorm,na,2
5920,1480,20,1,RBFSVM,auc,0.997930969,noselect,twonorm,na,3
5920,1480,20,1,RBFSVM,auc,0.998005319,noselect,twonorm,na,4
5920,1480,20,1,RBFSVM,auc,0.996305151,noselect,twonorm,na,5
12800,3200,8,1,RBFSVM,auc,0.889431209,noselect,url_spam,na,1
12800,3200,8,1,RBFSVM,auc,0.89162306,noselect,url_spam,na,2
12800,3200,8,1,RBFSVM,auc,0.885789332,noselect,url_spam,na,3
12800,3200,8,1,RBFSVM,auc,0.892960694,noselect,url_spam,na,4
12800,3200,8,1,RBFSVM,auc,0.895507836,noselect,url_spam,na,5
1097,275,4,1,RBFSVM,f1,1,noselect,BankNote_Authentication,na,1
1097,275,4,1,RBFSVM,f1,1,noselect,BankNote_Authentication,na,2
1097,275,4,1,RBFSVM,f1,0.995348837,noselect,BankNote_Authentication,na,3
1097,275,4,1,RBFSVM,f1,1,noselect,BankNote_Authentication,na,4
1097,275,4,1,RBFSVM,f1,1,noselect,BankNote_Authentication,na,5
4240,1060,2,1,RBFSVM,f1,0.89596603,noselect,banana,na,1
4240,1060,2,1,RBFSVM,f1,0.897826087,noselect,banana,na,2
4240,1060,2,1,RBFSVM,f1,0.891111111,noselect,banana,na,3
4240,1060,2,1,RBFSVM,f1,0.880978865,noselect,banana,na,4
4240,1060,2,1,RBFSVM,f1,0.885805763,noselect,banana,na,5
6243,1561,25,1,RBFSVM,f1,0.795767196,noselect,colleges,na,1
6243,1561,25,1,RBFSVM,f1,0.794432548,noselect,colleges,na,2
6243,1561,25,1,RBFSVM,f1,0.795206972,noselect,colleges,na,3
6243,1561,25,1,RBFSVM,f1,0.798634812,noselect,colleges,na,4
6243,1561,25,1,RBFSVM,f1,0.799171843,noselect,colleges,na,5
11984,2996,14,1,RBFSVM,f1,0.946165414,noselect,eegEyeState,na,1
11984,2996,14,1,RBFSVM,f1,0.875781948,noselect,eegEyeState,na,2
11984,2996,14,1,RBFSVM,f1,0.87635054,noselect,eegEyeState,na,3
11984,2996,14,1,RBFSVM,f1,0.946514423,noselect,eegEyeState,na,4
11984,2996,14,1,RBFSVM,f1,0.887222555,noselect,eegEyeState,na,5
7382,1846,7,1,RBFSVM,f1,0.915514593,noselect,employee_salaries,na,1
7382,1846,7,1,RBFSVM,f1,0.935810811,noselect,employee_salaries,na,2
7382,1846,7,1,RBFSVM,f1,0.935275081,noselect,employee_salaries,na,3
7382,1846,7,1,RBFSVM,f1,0.904761905,noselect,employee_salaries,na,4
7382,1846,7,1,RBFSVM,f1,0.929936306,noselect,employee_salaries,na,5
6499,1625,18,1,RBFSVM,f1,1,noselect,mushroom,na,2
6499,1625,18,1,RBFSVM,f1,1,noselect,mushroom,na,3
6499,1625,18,1,RBFSVM,f1,1,noselect,mushroom,na,4
6499,1625,18,1,RBFSVM,f1,1,noselect,mushroom,na,5
5920,1480,20,1,RBFSVM,f1,0.974983097,noselect,ringnorm,na,1
5920,1480,20,1,RBFSVM,f1,0.975945017,noselect,ringnorm,na,2
5920,1480,20,1,RBFSVM,f1,0.980392157,noselect,ringnorm,na,3
5920,1480,20,1,RBFSVM,f1,0.980769231,noselect,ringnorm,na,4
5920,1480,20,1,RBFSVM,f1,0.976836532,noselect,ringnorm,na,5
5920,1480,20,1,RBFSVM,f1,0.97883959,noselect,twonorm,na,1
5920,1480,20,1,RBFSVM,f1,0.975935829,noselect,twonorm,na,2
5920,1480,20,1,RBFSVM,f1,0.977257064,noselect,twonorm,na,3
5920,1480,20,1,RBFSVM,f1,0.980053191,noselect,twonorm,na,4
5920,1480,20,1,RBFSVM,f1,0.978868439,noselect,twonorm,na,5
12800,3200,8,1,RBFSVM,f1,0.848449386,noselect,url_spam,na,1
12800,3200,8,1,RBFSVM,f1,0.860938884,noselect,url_spam,na,2
12800,3200,8,1,RBFSVM,f1,0.860699467,noselect,url_spam,na,3
12800,3200,8,1,RBFSVM,f1,0.858881484,noselect,url_spam,na,4
12800,3200,8,1,RBFSVM,f1,0.862058909,noselect,url_spam,na,5
1097,275,4,1,RBFSVM,time(s),6.636256456,noselect,BankNote_Authentication,na,1
1097,275,4,1,RBFSVM,time(s),6.683161974,noselect,BankNote_Authentication,na,2
1097,275,4,1,RBFSVM,time(s),6.680138826,noselect,BankNote_Authentication,na,3
1097,275,4,1,RBFSVM,time(s),6.759925365,noselect,BankNote_Authentication,na,4
1097,275,4,1,RBFSVM,time(s),6.741973162,noselect,BankNote_Authentication,na,5
4240,1060,2,1,RBFSVM,time(s),142.9537606,noselect,banana,na,1
4240,1060,2,1,RBFSVM,time(s),142.8161387,noselect,banana,na,2
4240,1060,2,1,RBFSVM,time(s),143.5082877,noselect,banana,na,3
4240,1060,2,1,RBFSVM,time(s),141.5894194,noselect,banana,na,4
4240,1060,2,1,RBFSVM,time(s),141.6622319,noselect,banana,na,5
6243,1561,25,1,RBFSVM,time(s),882.1605191,noselect,colleges,na,1
6243,1561,25,1,RBFSVM,time(s),885.0288129,noselect,colleges,na,2
6243,1561,25,1,RBFSVM,time(s),884.3526213,noselect,colleges,na,3
6243,1561,25,1,RBFSVM,time(s),885.4437392,noselect,colleges,na,4
6243,1561,25,1,RBFSVM,time(s),884.8418884,noselect,colleges,na,5
11984,2996,14,1,RBFSVM,time(s),2965.399677,noselect,eegEyeState,na,1
11984,2996,14,1,RBFSVM,time(s),3180.390586,noselect,eegEyeState,na,2
11984,2996,14,1,RBFSVM,time(s),3198.41139,noselect,eegEyeState,na,3
11984,2996,14,1,RBFSVM,time(s),3028.731284,noselect,eegEyeState,na,4
11984,2996,14,1,RBFSVM,time(s),3210.096116,noselect,eegEyeState,na,5
7382,1846,7,1,RBFSVM,time(s),350.7828403,noselect,employee_salaries,na,1
7382,1846,7,1,RBFSVM,time(s),356.7568402,noselect,employee_salaries,na,2
7382,1846,7,1,RBFSVM,time(s),354.4909027,noselect,employee_salaries,na,3
7382,1846,7,1,RBFSVM,time(s),357.3512371,noselect,employee_salaries,na,4
7382,1846,7,1,RBFSVM,time(s),354.8230042,noselect,employee_salaries,na,5
6499,1625,18,1,RBFSVM,time(s),453.6457117,noselect,mushroom,na,2
6499,1625,18,1,RBFSVM,time(s),442.7269018,noselect,mushroom,na,3
6499,1625,18,1,RBFSVM,time(s),448.0845647,noselect,mushroom,na,4
6499,1625,18,1,RBFSVM,time(s),440.0031891,noselect,mushroom,na,5
5920,1480,20,1,RBFSVM,time(s),560.9249086,noselect,ringnorm,na,1
5920,1480,20,1,RBFSVM,time(s),561.6009216,noselect,ringnorm,na,2
5920,1480,20,1,RBFSVM,time(s),558.5710061,noselect,ringnorm,na,3
5920,1480,20,1,RBFSVM,time(s),562.701009,noselect,ringnorm,na,4
